,name,rating,reviews,ctype,hq,old,employee
32,DXC Technology,3.9,(6.4k Reviews),Public,"Minato,Tokyo + 54 more",6 years old,10k-50k Employees (India)
33,Infosys BPM,4.0,(6.2k Reviews),"Bangalore/Bengaluru,Karnataka + 51 more",21 years old,10k-50k Employees (India),
34,Maruti Suzuki,4.2,(6.1k Reviews),Public,"New Delhi,Delhi + 383 more",40 years old,10k-50k Employees (India)
35,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 79 more",23 years old,10k-50k Employees (India)
36,IDFC FIRST Bank,4.0,(5.7k Reviews),Public,"Mumbai,Maharashtra + 446 more",5 years old,10k-50k Employees (India)
37,Bajaj Finserv,4.0,(5.6k Reviews),Public,"Pune,Maharashtra + 713 more",16 years old,10k-50k Employees (India)
38,HSBC,4.1,(5.5k Reviews),Private,"Pune,Maharashtra + 54 more",21 years old,1k-5k Employees (India)
39,Ericsson,4.3,(5.4k Reviews),Private,"Stockholm,Stockholm County + 134 more",147 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5.4k Reviews),Private,"Mumbai,Maharashtra + 168 more",21 years old,10k-50k Employees (India)
41,Mphasis,3.7,(5.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,10k-50k Employees (India)
42,Startek,3.3,(5k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
43,Dr. Reddy's,4.2,(4.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 137 more",37 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.8,(4.8k Reviews),Private,"Pittsford,New York + 42 more",37 years old,10k-50k Employees (India)
45,Yes Bank,4.0,(4.8k Reviews),Public,"Mumbai,Maharashtra + 383 more",19 years old,10k-50k Employees (India)
46,Udaan,4.0,(4.8k Reviews),Private,"Bangalore,Karnataka + 332 more",7 years old,1k-5k Employees (India)
47,Cipla Pharmaceut...,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 191 more",88 years old,10k-50k Employees (India)
48,Asian Paints,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 354 more",81 years old,10k-50k Employees (India)
49,HDFC Life,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 434 more",1 years old,10k-50k Employees (India)
50,iEnergizer,4.2,(4.7k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
51,Jana Small Finan...,3.9,(4.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 317 more",17 years old,10k-50k Employees (India)
52,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 43 more",35 years old,10k-50k Employees (India)
53,ICICI Prudential...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 407 more",23 years old,10k-50k Employees (India)
54,PwC,3.8,(4.5k Reviews),Partnership,"London,United Kingdom + 67 more",143 years old,10k-50k Employees (India)
55,Lupin,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 136 more",55 years old,10k-50k Employees (India)
56,HCL Group,3.9,(4.4k Reviews),Chennai + 63 more,47 years old,50k-1 Lakh Employees (India),
57,EXL Service,3.9,(4.4k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
58,UltraTech Cement,4.3,(4.3k Reviews),Public,"Mumbai,Maharashtra + 359 more",40 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 67 more",27 years old,10k-50k Employees (India)
60,Indian Army,4.7,(4.2k Reviews),Public,"New Delhi,Delhi + 275 more",128 years old,1 Lakh+ Employees (India)
61,KPMG,3.7,(4.2k Reviews),Partnership,Bengaluru/Bangalore + 64 more,36 years old,10k-50k Employees (India)
62,Bajaj Finance,4.2,(4.2k Reviews),Private,"Pune,Maharashtra + 649 more",36 years old,10k-50k Employees (India)
63,Paytm,3.7,(4.1k Reviews),Public,Noida + 247 more,13 years old,10k-50k Employees (India)
64,Mindtree,4.1,(4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",24 years old,10k-50k Employees (India)
65,ITC,4.0,(4k Reviews),Public,"Kolkata,West Bengal + 246 more",48 years old,5k-10k Employees (India)
66,Hindustan Unilev...,4.3,(3.9k Reviews),Public,"Mumbai,Maharashtra + 369 more",90 years old,10k-50k Employees (India)
67,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 102 more,11 years old,5k-10k Employees (India)
68,Bandhan Bank,3.9,(3.9k Reviews),Public,"Kolkata,West Bengal + 588 more",22 years old,50k-1 Lakh Employees (India)
69,Ujjivan Small Fi...,4.1,(3.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 389 more",6 years old,10k-50k Employees (India)
70,IIFL,3.9,(3.8k Reviews),Public,"Mumbai,Maharashtra + 535 more",28 years old,1k-5k Employees (India)
71,JP Morgan Chase,4.2,(3.8k Reviews),Private,"New York,New York + 21 more",23 years old,10k-50k Employees (India)
72,Wells Fargo Indi...,4.2,(3.8k Reviews),Public,"San Francisco,California + 12 more",171 years old,10k-50k Employees (India)
73,Delhivery,4.1,(3.8k Reviews),Private,"Delhi,NCT + 495 more",12 years old,10k-50k Employees (India)
74,OPPO,4.0,(3.7k Reviews),Public,"Dongguan,Guangdong + 340 more",19 years old,10k-50k Employees (India)
75,Sun Pharmaceutic...,4.2,(3.6k Reviews),Public,Mumbai + 160 more,40 years old,10k-50k Employees (India)
76,Shriram Transpor...,4.2,(3.6k Reviews),Public,"Mumbai,Maharashtra + 711 more",44 years old,10k-50k Employees (India)
77,Zydus Cadila,4.2,(3.6k Reviews),Public,"Ahmedabad, India + 118 more",71 years old,10k-50k Employees (India)
78,Ashok Leyland,4.1,(3.6k Reviews),Public,"Chennai,Tamil Nadu + 193 more",75 years old,10k-50k Employees (India)
79,Shapoorji Pallon...,4.2,(3.6k Reviews),Private,"Mumbai,Maharashtra + 138 more",158 years old,5k-10k Employees (India)
80,Aurobindo Pharma,4.0,(3.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",37 years old,10k-50k Employees (India)
81,Vivo,4.1,(3.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 338 more",14 years old,5k-10k Employees (India)
82,AU Small Finance...,4.0,(3.5k Reviews),Private,"Jaipur,Rajasthan + 312 more",27 years old,10k-50k Employees (India)
83,Mahindra & Mahin...,4.3,(3.5k Reviews),Public,"Mumbai,Maharashtra + 575 more",32 years old,10k-50k Employees (India)
84,TATA Steel,4.2,(3.4k Reviews),Public,"Mumbai,Maharashtra + 125 more",116 years old,10k-50k Employees (India)
85,Hexaware Technol...,3.7,(3.4k Reviews),Public,"Mumbai,Maharashtra + 31 more",33 years old,10k-50k Employees (India)
86,Siemens,4.2,(3.4k Reviews),Public,"Munich,Bavaria + 103 more",176 years old,5k-10k Employees (India)
87,Quess,4.0,(3.4k Reviews),Public,Bangalore + 387 more,16 years old,1k-5k Employees (India)
